"Survival","Sex","Temp","Sib_ID"
1,"U","34.5","BMR4-B1L"
1,"U","34.5","BMR4-B1L"
1,"U","34.5","BMR4-B1L"
1,"U","34.8","BMR4-B1L"
0,"U","35.8","BMR4-B1L"
0,"U","36.5","BMR4-B1L"
1,"U","34.5","BMR6-B4BL"
1,"U","34.5","BMR6-B4BL"
1,"U","34.8","BMR6-B4BL"
1,"U","34.8","BMR6-B4BL"
0,"U","34.8","BMR6-B4BL"
0,"U","35.3","BMR6-B4BL"
1,"U","35.8","BMR6-B4BL"
1,"U","35.8","BMR6-B4BL"
1,"U","36.2","BMR6-B4BL"
1,"U","36.5","BMR6-B4BL"
0,"U","36.5","BMR6-B4BL"
0,"U","37","BMR6-B4BL"
1,"U","35.8","BMR1-A4H"
0,"U","37","BMR1-A4H"
1,"U","34","BMR1-B2H"
1,"U","34.5","BMR1-B2H"
1,"U","35.3","BMR1-B2H"
0,"U","36.2","BMR1-B2H"
0,"U","37","BMR1-B2H"
1,"U","34","BMR6-A1BH"
0,"U","34.5","BMR6-A1BH"
1,"U","34.8","BMR6-A1BH"
1,"U","34.8","BMR6-A1BH"
1,"U","35.3","BMR6-A1BH"
1,"U","35.8","BMR6-A1BH"
1,"U","35.8","BMR6-A1BH"
1,"U","36.2","BMR6-A1BH"
1,"U","36.5","BMR6-A1BH"
1,"U","36.5","BMR6-A1BH"
1,"U","36.5","BMR6-A1BH"
1,"U","37","BMR6-A1BH"
1,"U","34","BMR6-B1BH"
1,"U","34.5","BMR6-B1BH"
1,"U","34.8","BMR6-B1BH"
1,"U","34.8","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.3","BMR6-B1BH"
1,"U","35.8","BMR6-B1BH"
1,"U","35.8","BMR6-B1BH"
1,"U","35.8","BMR6-B1BH"
1,"U","36.2","BMR6-B1BH"
1,"U","36.2","BMR6-B1BH"
0,"U","36.2","BMR6-B1BH"
1,"U","36.5","BMR6-B1BH"
1,"U","36.5","BMR6-B1BH"
0,"U","36.5","BMR6-B1BH"
0,"U","36.5","BMR6-B1BH"
1,"U","37","BMR6-B1BH"
1,"U","37","BMR6-B1BH"
1,"U","34","BMR6-C2BH"
1,"U","34","BMR6-C2BH"
1,"U","34.5","BMR6-C2BH"
1,"U","34.5","BMR6-C2BH"
1,"U","34.5","BMR6-C2BH"
1,"U","34.8","BMR6-C2BH"
1,"U","34.8","BMR6-C2BH"
1,"U","34.8","BMR6-C2BH"
1,"U","35.3","BMR6-C2BH"
1,"U","35.8","BMR6-C2BH"
1,"U","35.8","BMR6-C2BH"
1,"U","36.2","BMR6-C2BH"
0,"U","36.2","BMR6-C2BH"
0,"U","36.5","BMR6-C2BH"
0,"U","36.5","BMR6-C2BH"
0,"U","37","BMR6-C2BH"
1,"U","34","BMR6-A1BL"
1,"U","34","BMR6-A1BL"
1,"U","34","BMR6-A1BL"
0,"U","34.5","BMR6-A1BL"
1,"U","35.3","BMR6-A1BL"
1,"U","35.8","BMR6-A1BL"
1,"U","35.8","BMR6-A1BL"
1,"U","35.8","BMR6-A1BL"
1,"U","36.2","BMR6-A1BL"
1,"U","36.2","BMR6-A1BL"
1,"U","36.2","BMR6-A1BL"
1,"U","36.2","BMR6-A1BL"
0,"U","36.5","BMR6-A1BL"
0,"U","37","BMR6-A1BL"
0,"U","37","BMR6-A1BL"
0,"U","37","BMR6-A1BL"
